cond,flash_n,flash_play_1,flash_play_2,beep_n,beep_play_1,beep_play_2
0,1,1,0,0,0,0
1,2,1,1,0,0,0
2,0,0,0,1,1,0
3,1,1,0,1,1,0
4,2,1,1,1,1,0
5,0,0,0,2,1,1
6,1,1,0,2,1,1
7,2,1,1,2,1,1
