lag_cond,t1_position,soa
1,3,100
2,3,200
3,3,300
4,3,400
5,3,500
6,3,600
7,3,700
8,3,800
1,4,100
2,4,200
3,4,300
4,4,400
5,4,500
6,4,600
7,4,700
8,4,800
1,5,100
2,5,200
3,5,300
4,5,400
5,5,500
6,5,600
7,5,700
8,5,800
1,6,100
2,6,200
3,6,300
4,6,400
5,6,500
6,6,600
7,6,700
8,6,800
1,7,100
2,7,200
3,7,300
4,7,400
5,7,500
6,7,600
7,7,700
8,7,800
